id	parentID	kingdom	phylum	class	order	family	scientificName	rank	status
3501		Plantae	Tracheophyta	Spermatopsida	Malvales	Malvaceae	Theobroma cacao	species	accepted
3514		Plantae	Tracheophyta	Spermatopsida	Lamiales	Lamiaceae	Thymus pulegioides	species	accepted
3515		Plantae	Tracheophyta	Spermatopsida	Lamiales	Lamiaceae	Thymus serpyllum	species	accepted
3516		Plantae	Tracheophyta	Spermatopsida	Lamiales	Lamiaceae	Thymus vulgaris	species	accepted
3563		Plantae	Tracheophyta	Spermatopsida	Fabales	Fabaceae	Trigonella foenum-graecum	species	accepted
3732		Plantae	Tracheophyta	Spermatopsida		Zingiberaceae	Zingiberaceae	family	accepted
3838		Plantae	Tracheophyta	Spermatopsida	Lamiales	Lamiaceae	Satureja hortensis	species	accepted
3880		Plantae	Tracheophyta	Spermatopsida	Myrtales	Myrtaceae	Syzygium aromaticum	species	accepted
3979		Plantae	Tracheophyta	Spermatopsida	Lamiales	Lamiaceae	Mentha x piperita	species	accepted
3405		Plantae	Tracheophyta	Spermatopsida	Caryophyllales	Caryophyllaceae	Spergula arvensis var. maxima	variety	accepted
1767		Plantae	Tracheophyta	Spermatopsida	Cucurbitales	Cucurbitaceae	Cucumis	genus	accepted
2005		Plantae	Tracheophyta	Spermatopsida	Fagales	Fagaceae	Fagus sylvatica	species	accepted
1541		Plantae	Tracheophyta	Spermatopsida	Fagales	Fagaceae	Castanea sativa	species	accepted
1675		Plantae	Tracheophyta	Spermatopsida	Arecales	Arecaceae	Cocos	genus	accepted
1676		Plantae	Tracheophyta	Spermatopsida	Arecales	Arecaceae	Cocos nucifera	species	accepted
1728		Plantae	Tracheophyta	Spermatopsida	Fagales	Betulaceae	Corylus avellana	species	accepted
2300		Plantae	Tracheophyta	Spermatopsida	Fagales	Juglandaceae	Juglans regia	species	accepted
1653		Plantae	Tracheophyta	Spermatopsida	Cucurbitales	Cucurbitaceae	Citrullus colocynthis	species	accepted
1026		Plantae	Tracheophyta	Spermatopsida	Ericales	Actinidiaceae	Actinidia chinensis	species	accepted
1654		Plantae	Tracheophyta	Spermatopsida	Cucurbitales	Cucurbitaceae	Citrullus lanatus	species	accepted
1655		Plantae	Tracheophyta	Spermatopsida	Sapindales	Rutaceae	Citrus	genus	accepted
1656		Plantae	Tracheophyta	Spermatopsida	Sapindales	Rutaceae	Citrus aurantium	species	accepted
1748		Plantae	Tracheophyta	Spermatopsida	Rosales	Rosaceae	Crataegus laevigata	species	accepted
1749		Plantae	Tracheophyta	Spermatopsida	Rosales	Rosaceae	Crataegus monogyna	species	accepted
1768		Plantae	Tracheophyta	Spermatopsida	Cucurbitales	Cucurbitaceae	Cucumis melo	species	accepted
1783		Plantae	Tracheophyta	Spermatopsida	Rosales	Rosaceae	Cydonia oblonga	species	accepted
1903		Plantae	Tracheophyta	Spermatopsida	Ericales	Ericaceae	Empetrum	genus	accepted
1904		Plantae	Tracheophyta	Spermatopsida	Ericales	Ericaceae	Empetrum nigrum	species	accepted
2021		Plantae	Tracheophyta	Spermatopsida	Rosales	Moraceae	Ficus	genus	accepted
2022		Plantae	Tracheophyta	Spermatopsida	Rosales	Moraceae	Ficus carica	species	accepted
2035		Plantae	Tracheophyta	Spermatopsida	Rosales	Rosaceae	Fragaria	genus	accepted
2036		Plantae	Tracheophyta	Spermatopsida	Rosales	Rosaceae	Fragaria moschata	species	accepted
2037		Plantae	Tracheophyta	Spermatopsida	Rosales	Rosaceae	Fragaria vesca	species	accepted
2038		Plantae	Tracheophyta	Spermatopsida	Rosales	Rosaceae	Fragaria x ananassa	species	accepted
2207		Plantae	Tracheophyta	Spermatopsida	Rosales	Elaeagnaceae	Hippophae rhamnoides	species	accepted
2522		Plantae	Tracheophyta	Spermatopsida	Rosales	Rosaceae	Maloidea	genus	accepted
2523		Plantae	Tracheophyta	Spermatopsida	Rosales	Rosaceae	Malus	genus	accepted
2524		Plantae	Tracheophyta	Spermatopsida	Rosales	Rosaceae	Malus domestica	species	accepted
2526		Plantae	Tracheophyta	Spermatopsida	Rosales	Rosaceae	Malus sylvestris	species	accepted
2577		Plantae	Tracheophyta	Spermatopsida	Rosales	Rosaceae	Mespilus	genus	accepted
2601		Plantae	Tracheophyta	Spermatopsida	Rosales	Moraceae	Morus	genus	accepted
2827		Plantae	Tracheophyta	Spermatopsida	Arecales	Arecaceae	Phoenix	genus	accepted
2993		Plantae	Tracheophyta	Spermatopsida	Rosales	Rosaceae	Prunus americana	species	accepted
2994		Plantae	Tracheophyta	Spermatopsida	Rosales	Rosaceae	Prunus armeniaca	species	accepted
